sourceWallet,sourceSigner,sourceBankBicfi,sourceBank,targetWallet,targetSigner,targetBank,targetBankBicfi,amount,symbol,created,updated,sourceChannel,transactionPurpose,code,message,comentario
"""$573134110107""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceWallet al enviarlo correctamente
null,"""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceWallet al enviarlo null
"""$3""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceWallet al enviarlo minimo con 1 carácter
"""$573134110107573134110107573134110107573134110107573134110107573""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceWallet al enviarlo maximo con 64 caracteres
"""""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceWallet al enviarlo vacio
"""$573134110107""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceSigner al enviarlo correctamente
"""$573134110107""",null,"""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceSigner al enviarlo null
"""$573134110107""","""w""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceSigner al enviarlo minimo con 1 carácter
"""$573134110107""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTqwPhvAtaBdjs5BNeS7gxR6L4q9JM9rR""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceSigner al enviarlo maximo con 64 caracteres
"""$573134110107""","""""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar sourceSigner al enviarlo vacio
