transferId,txId,sourceWallet,status,type,sourceSigner,sourceBankBicfi,sourceBank,targetWallet,targetSigner,targetBank,targetBankBicfi,amount,symbol,created,updated,sourceChannel,transactionPurpose,code,message,comentario
"""""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo transferId al enviarlo vacio
null,"""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar-campo transferid al enviarlo con datos nulos
"""XzwutTb9BlZbefE2N""",null,"""$573134110107""","""COMPLETED""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo tx Id al enviarlo vacio
"""XzwutTb9BlZbefE2N""","""""","""$573134110107""","""COMPLETED""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo tx Id al enviarlo con datos nulos
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo status al enviarlo vacio
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""",null,"""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo status al enviarlo con datos nulos
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""","""""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo type al enviarlo vacio
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""",null,"""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar campo type al enviarlo con datos nulos
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""","""SEND""","""CO.COM.RED.TRXID1234567890123456789Banco RojoBanco RojoBanco Rojo""","""7095""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar al enviarlo en sourceSigner con mas 64 caracteres
"""XzwutTb9BlZbefE2N""","""dbc977ef-1e72-41cd-ae87-fc8714be383b""","""$573134110107""","""COMPLETED""","""SEND""","""wPhvAtaBdjs5BNeS7gxR6L4q9JM9rRZZTq""","""CO.COM.RED.TRXID1234567890123456789Banco RojoBanco RojoBanco Rojo""","""Banco Rojo""","""walletDestino789""","""signerDestino012""","""Banco Amarillo""","""3854""","""10""","""$tin""","""2025-06-09T18:50:58.576""","""2025-06-09T18:50:58.576""","""PSE""","""PAYMENTALIADOS""","""1013""","""Prueba""",Validar al enviarlo en sourceBankBicfi con mas 64 caracteres
